2025-06-09 10:00:50,938 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:00:50,938 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 14:27:04,969 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:27:04,969 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:27:15,127 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:27:15,127 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:27:25,291 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:27:25,291 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:27:42,983 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:27:42,983 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:27:45,194 - ERROR - Error marking post_sent for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:27:45,194 - ERROR - Error in delay_post_request for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:27:53,127 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:27:53,127 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:28:05,487 - ERROR - Error marking post_sent for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:28:05,487 - ERROR - Error in delay_post_request for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:28:07,998 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:28:07,998 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:28:15,636 - ERROR - Error marking post_sent for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:28:15,636 - ERROR - Error in delay_post_request for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:28:18,153 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:28:18,153 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:28:25,804 - ERROR - Error marking post_sent for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:28:25,804 - ERROR - Error in delay_post_request for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:28:28,318 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:28:28,318 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:28:35,954 - ERROR - Error marking post_sent for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:28:35,954 - ERROR - Error in delay_post_request for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:28:38,468 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:28:38,468 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:28:46,114 - ERROR - Error marking post_sent for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:28:46,114 - ERROR - Error in delay_post_request for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:28:56,281 - ERROR - Error marking post_sent for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:28:56,281 - ERROR - Error in delay_post_request for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:28:56,987 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:28:56,987 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:29:06,443 - ERROR - Error marking post_sent for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:29:06,443 - ERROR - Error in delay_post_request for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:29:07,147 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:07,147 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:16,594 - ERROR - Error marking post_sent for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:29:16,594 - ERROR - Error in delay_post_request for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:29:17,299 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:29:17,299 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:29:26,746 - ERROR - Error marking post_sent for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:29:26,746 - ERROR - Error in delay_post_request for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:29:27,451 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:27,451 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:36,914 - ERROR - Error marking post_sent for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:29:36,914 - ERROR - Error in delay_post_request for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:29:43,361 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:29:43,361 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:29:47,083 - ERROR - Error marking post_sent for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:29:47,083 - ERROR - Error in delay_post_request for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:29:53,516 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:53,516 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:29:57,241 - ERROR - Error marking post_sent for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:29:57,241 - ERROR - Error in delay_post_request for camera 0, pair (10000163, 10000141): (0, '10000163', '10000141')
2025-06-09 14:30:07,391 - ERROR - Error marking post_sent for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:30:07,391 - ERROR - Error in delay_post_request for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:30:14,721 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:30:14,721 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:30:17,543 - ERROR - Error marking post_sent for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:30:17,543 - ERROR - Error in delay_post_request for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:30:24,898 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:30:24,898 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:30:27,718 - ERROR - Error marking post_sent for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
